Origin,Destination,Mode,Distance,Weight,Cost,Delay_Hours
Houston,Miami,Road,2179,123,1065.2,7.29
Miami,Los Angeles,Air,1365,4684,2662.83,0.08
Chicago,New York,Sea,1638,2198,431.94,12.72
Seattle,Miami,Rail,386,3692,559.95,0.61
Los Angeles,Atlanta,Rail,819,1079,412.89,1.76
Los Angeles,Miami,Road,1936,2139,1392.94,7.75
Houston,Los Angeles,Road,1324,331,740.59,5.01
Miami,Los Angeles,Road,1890,2271,1088.64,6.57
New York,Los Angeles,Air,1557,2836,2437.17,0.02
Atlanta,Boston,Rail,2862,1916,1040.58,1.82
New York,Chicago,Sea,2126,1576,423.33,5.72
Miami,New York,Road,542,4860,833.73,2.44
Atlanta,New York,Sea,1782,1248,324.17,19.12
Boston,Houston,Road,1347,3957,1267.22,4.67
Miami,Houston,Road,1811,2647,1223.03,0.46
Los Angeles,Seattle,Air,673,2738,1306.09,0.08
Chicago,Houston,Rail,2359,2190,1101.14,1.46
Miami,New York,Rail,1899,3552,1027.95,4.47
Boston,Los Angeles,Sea,1984,1912,429.73,14.23
Houston,Seattle,Road,1152,4140,1059.27,2.12
Los Angeles,Houston,Sea,1030,1226,238.39,8.12
Atlanta,New York,Air,2016,1164,2879.5,0.08
Miami,Boston,Air,1805,3880,3633.56,0.07
Los Angeles,Boston,Air,2311,4352,3871.0,0.28
Miami,Houston,Road,373,3431,482.05,0.51
Miami,Los Angeles,Sea,707,3981,483.96,7.72
Los Angeles,Chicago,Rail,2988,2611,1217.28,3.05
New York,Los Angeles,Sea,2004,131,215.82,18.72
Miami,New York,Road,2047,3942,1507.61,3.65
Miami,Seattle,Rail,2379,4448,1188.25,2.29
Houston,New York,Road,282,4429,597.35,1.12
Seattle,Boston,Road,2929,1664,1793.52,11.95
Houston,New York,Air,2727,866,4674.21,0.24
Atlanta,New York,Sea,2347,2133,441.69,19.18
Houston,New York,Rail,366,3596,543.21,0.81
Los Angeles,Boston,Air,2475,2189,4027.7,0.1
Seattle,Chicago,Road,2404,3846,1736.71,9.92
New York,Atlanta,Sea,740,3709,507.28,2.26
Los Angeles,Houston,Rail,2453,4336,1229.37,4.37
Chicago,New York,Rail,1665,1303,581.09,3.8
Los Angeles,Atlanta,Air,766,1299,1173.28,0.06
Seattle,Houston,Road,2770,2098,1668.17,7.59
New York,Los Angeles,Rail,2549,1006,1031.98,5.54
Chicago,Seattle,Sea,770,3391,427.72,1.07
Atlanta,New York,Road,1626,4588,1492.4,3.48
Chicago,New York,Air,2363,1229,4239.55,0.05
Los Angeles,Chicago,Rail,1314,1821,646.11,0.01
Seattle,Atlanta,Rail,2114,2355,964.07,2.03
Houston,Atlanta,Air,264,2696,660.07,0.0
Boston,Los Angeles,Rail,597,4769,746.26,0.66
Los Angeles,Boston,Road,2190,1473,1421.68,10.79
Miami,Atlanta,Sea,880,4770,525.69,9.62
New York,Chicago,Sea,2044,4824,746.43,19.88
New York,Atlanta,Rail,1846,1067,683.69,2.92
Miami,Boston,Road,2320,1133,1195.91,3.86
Houston,Los Angeles,Rail,1520,4750,903.05,2.56
Houston,New York,Rail,202,2362,347.69,0.5
New York,Los Angeles,Rail,1887,1646,690.62,3.96
Los Angeles,Seattle,Air,1678,2797,3146.27,0.1
Atlanta,Miami,Sea,2525,3580,598.1,12.08
Atlanta,Los Angeles,Sea,364,2903,312.9,3.76
Boston,Houston,Road,2233,3083,1520.34,7.6
Atlanta,Seattle,Sea,1126,1225,242.84,9.98
Houston,Chicago,Air,2418,4474,4617.02,0.01
Houston,Seattle,Road,2671,809,1321.67,8.31
Seattle,Houston,Sea,1740,400,212.4,14.92
Atlanta,Los Angeles,Sea,2386,238,277.63,20.41
Seattle,New York,Air,1875,2753,3590.22,0.13
Atlanta,Seattle,Rail,1971,799,624.49,0.31
New York,Miami,Sea,687,1383,215.43,8.87
Los Angeles,New York,Sea,2671,4737,798.4,12.06
Los Angeles,Boston,Rail,528,4094,592.25,1.21
Seattle,Chicago,Air,1007,643,1508.99,0.1
Boston,Miami,Road,301,3204,555.65,1.05
Houston,Boston,Road,2959,766,1598.64,6.85
Atlanta,Boston,Road,1350,3409,1069.11,0.63
Boston,Atlanta,Sea,1301,594,171.7,12.61
Chicago,Houston,Road,1238,3037,997.58,3.57
Houston,Seattle,Road,1927,617,1091.71,8.29
Atlanta,Chicago,Air,427,1451,866.16,0.01
Chicago,Seattle,Road,2172,3051,1516.63,6.09
Houston,Los Angeles,Sea,1350,289,185.25,2.87
Atlanta,Boston,Rail,675,1511,393.94,0.87
Houston,Chicago,Air,1156,2102,2107.88,0.03
Chicago,Miami,Air,2394,1182,3435.39,0.15
Boston,Miami,Rail,2124,4327,1224.64,1.99
Los Angeles,New York,Road,1318,3062,1153.51,2.88
New York,Los Angeles,Sea,701,3787,446.58,1.48
Los Angeles,Miami,Sea,1209,2575,359.99,1.61
Seattle,Boston,Rail,1522,2030,683.27,0.77
Los Angeles,Atlanta,Air,1075,1651,1973.64,0.09
Atlanta,Chicago,Rail,1283,2537,689.25,1.24
Los Angeles,Seattle,Air,1533,3637,2404.53,0.01
Houston,Chicago,Road,2941,665,1688.37,7.87
Seattle,Los Angeles,Air,805,3472,1768.02,0.0
New York,Atlanta,Road,1053,3488,949.34,0.17
Miami,Seattle,Sea,2438,437,287.45,18.76
Atlanta,Miami,Road,1478,1968,1007.02,6.34
Chicago,Boston,Road,1347,4869,1387.94,3.3
Miami,Atlanta,Road,1383,2353,903.01,4.69
Boston,Los Angeles,Sea,2756,3571,682.5,34.27
Miami,Seattle,Air,1508,1328,2243.39,0.08
Miami,Seattle,Rail,1526,2085,644.4,0.98
Houston,Boston,Road,2880,589,1674.48,7.31
Seattle,Houston,Road,1479,456,860.01,1.79
Miami,Atlanta,Rail,1370,1374,565.46,0.87
Houston,Boston,Air,2175,2335,3583.39,0.18
Seattle,Miami,Sea,1546,695,221.11,15.33
Chicago,Atlanta,Road,1592,2033,1041.31,2.58
Atlanta,New York,Sea,1327,1914,348.25,10.32
Boston,Miami,Air,2543,3532,4439.04,0.12
Houston,Miami,Sea,1684,1585,297.11,2.82
Chicago,Boston,Air,298,1145,631.71,0.0
Chicago,Los Angeles,Sea,2359,3502,555.47,26.51
Chicago,Seattle,Sea,1096,2964,447.58,11.32
Atlanta,Houston,Rail,1327,1743,609.87,3.07
Atlanta,Los Angeles,Road,1531,3851,1163.46,1.12
Chicago,New York,Air,227,3158,753.67,0.01
Miami,Los Angeles,Sea,2931,2008,530.56,3.76
New York,Boston,Rail,1634,727,628.19,3.65
Houston,New York,Sea,1831,3427,625.43,9.54
New York,Boston,Sea,2490,3587,694.35,12.49
Miami,Los Angeles,Air,1309,3561,2386.6,0.14
Los Angeles,Houston,Road,2439,4802,1793.94,4.71
Seattle,Atlanta,Sea,798,3515,411.76,1.12
New York,Seattle,Road,1924,2441,1237.69,0.74
Atlanta,Los Angeles,Sea,2484,4921,720.57,1.37
Chicago,Miami,Rail,2370,2220,1004.5,2.27
Houston,Seattle,Road,1700,1949,1118.37,1.8
Los Angeles,New York,Air,503,3647,1329.8,0.04
Seattle,Boston,Sea,935,3188,445.47,1.78
Miami,Chicago,Sea,209,3646,371.83,2.55
Boston,Miami,Air,673,4988,1626.14,0.02
Houston,Chicago,Road,1273,1141,865.13,4.67
Houston,New York,Road,2228,1054,1129.02,5.04
Houston,Los Angeles,Rail,1501,2552,664.44,0.63
Los Angeles,Houston,Road,1799,4273,1461.74,3.54
Seattle,Miami,Sea,295,1274,145.38,1.26
Los Angeles,Boston,Road,527,2472,482.85,1.01
Boston,New York,Air,2190,203,3552.39,0.04
Chicago,New York,Rail,2637,4992,1275.51,1.29
Atlanta,Los Angeles,Air,1477,3003,2790.5,0.13
Seattle,Miami,Air,2336,508,3229.5,0.13
Houston,Chicago,Sea,1833,4571,593.94,20.22
Boston,Houston,Road,2880,2578,1800.48,1.07
Atlanta,Boston,Sea,1049,2511,329.93,8.95
Houston,Atlanta,Road,810,2445,739.21,0.5
Atlanta,Seattle,Rail,525,1409,325.66,0.32
Los Angeles,Houston,Road,1475,205,828.74,2.09
Chicago,Houston,Road,2293,1145,1220.03,3.83
New York,Miami,Air,1820,3177,3003.9,0.05
Boston,Los Angeles,Rail,1489,1882,595.14,0.06
New York,Los Angeles,Air,742,3544,1676.99,0.07
Los Angeles,Miami,Road,2303,4658,1840.11,7.18
Seattle,Boston,Road,1573,1625,1052.34,4.95
Chicago,Miami,Sea,2901,299,303.97,29.61
Miami,Boston,Road,952,1733,675.97,0.63
Los Angeles,Houston,Sea,2440,4720,775.13,13.96
Boston,Houston,Air,1898,2487,3296.98,0.03
Seattle,New York,Sea,329,3832,486.16,0.25
Chicago,Houston,Sea,1444,4271,679.1,9.48
Chicago,Miami,Sea,379,1827,214.07,4.79
Chicago,Atlanta,Rail,2752,4207,1348.44,5.79
Atlanta,Chicago,Air,2199,3620,3895.47,0.21
Los Angeles,New York,Road,1871,3689,1427.47,6.85
Los Angeles,Chicago,Road,1622,3323,1252.46,1.98
Seattle,Chicago,Sea,437,2216,269.48,3.07
Miami,Chicago,Sea,2650,1026,350.21,10.71
Boston,Chicago,Rail,1041,1693,444.93,0.53
Chicago,Miami,Road,550,1334,405.85,1.37
Boston,Atlanta,Sea,1564,434,238.73,3.32
Atlanta,Chicago,Road,1942,14,935.59,9.51
Atlanta,Los Angeles,Road,1494,3652,1228.03,1.17
Atlanta,Los Angeles,Rail,888,2826,629.53,1.67
Chicago,Boston,Rail,901,157,285.13,2.08
Boston,Miami,Rail,1470,2044,635.4,2.48
Los Angeles,Houston,Sea,218,4209,448.94,1.69
Seattle,Atlanta,Road,1834,423,1141.93,7.0
Boston,Atlanta,Rail,2105,3011,1040.99,4.59
New York,Boston,Road,2100,4945,1649.25,5.67
Boston,Miami,Road,2482,2524,1600.97,8.68
Los Angeles,Seattle,Sea,2177,1114,378.42,24.83
Los Angeles,Boston,Sea,388,3933,491.37,0.33
Houston,Los Angeles,Air,2385,4229,4313.36,0.04
Atlanta,Chicago,Sea,336,2391,265.28,1.74
Chicago,Seattle,Road,268,1742,341.69,0.54
New York,Boston,Sea,2771,2455,547.65,22.98
Boston,Houston,Air,1107,3419,2213.34,0.08
New York,Boston,Air,2664,3756,4666.31,0.29
Boston,Los Angeles,Road,878,3198,692.04,3.76
Miami,Boston,Road,771,4672,776.24,0.92
Seattle,Houston,Road,1813,3538,1241.45,2.77
Seattle,Houston,Air,1476,240,2518.06,0.04
New York,Houston,Rail,2338,1444,802.29,4.44
Los Angeles,Chicago,Rail,2639,1370,961.05,1.98
Chicago,Los Angeles,Air,1909,3369,3523.88,0.16
Houston,Atlanta,Air,209,4793,779.35,0.01
Atlanta,Boston,Rail,469,3587,580.21,0.82
Atlanta,Seattle,Rail,1895,147,562.26,0.26
Chicago,Los Angeles,Sea,450,4885,612.05,0.16
Miami,Houston,Air,679,369,1126.58,0.05
Miami,Los Angeles,Sea,362,4792,500.81,2.9
Chicago,New York,Rail,1661,1149,690.48,2.95
Boston,Houston,Road,2368,4233,1853.82,11.64
Miami,Los Angeles,Air,2272,1176,3247.52,0.23
Chicago,Miami,Sea,2629,2187,485.13,3.51
Chicago,Miami,Road,922,362,484.48,0.11
Houston,Chicago,Sea,2118,3592,676.59,1.76
New York,Seattle,Road,2290,3089,1309.86,10.75
Miami,Chicago,Air,319,155,548.15,0.04
New York,Los Angeles,Road,1304,3077,1099.54,3.59
Atlanta,Houston,Rail,2830,4196,1293.77,1.85
Chicago,Atlanta,Rail,293,1549,231.24,0.24
Boston,Los Angeles,Road,862,3075,824.3,4.15
Los Angeles,Boston,Road,566,393,367.05,1.69
Chicago,Houston,Sea,1175,2101,318.55,11.23
Atlanta,Seattle,Rail,2982,3979,1344.32,5.57
New York,Houston,Air,1767,810,3152.0,0.13
New York,Miami,Rail,2187,2929,1058.65,4.93
Boston,New York,Air,1036,3310,2159.16,0.02
Los Angeles,New York,Air,2329,4498,4694.66,0.13
Boston,New York,Road,225,69,139.56,0.68
Houston,Seattle,Sea,1832,1392,368.0,4.38
Houston,New York,Road,2300,2378,1366.55,3.82
Miami,New York,Sea,1795,3780,598.53,4.88
New York,Boston,Air,2552,3498,4638.95,0.14
Atlanta,Miami,Rail,2976,2793,1177.78,3.34
Houston,Los Angeles,Road,388,3489,607.82,1.5
Los Angeles,Chicago,Rail,2420,2491,950.99,2.7
Miami,Seattle,Sea,240,1960,204.67,0.9
New York,Seattle,Road,1978,2054,1122.06,8.13
Miami,Seattle,Air,1500,4828,2856.3,0.05
Miami,Seattle,Rail,432,1816,341.37,0.29
Los Angeles,Miami,Air,2609,2051,3838.43,0.21
Miami,Boston,Rail,2220,1668,750.12,4.89
Chicago,Seattle,Road,2411,2794,1621.7,3.7
Miami,New York,Sea,2132,3454,554.97,14.84
Houston,Chicago,Rail,335,851,213.9,0.41
Los Angeles,Atlanta,Road,2382,2084,1308.97,7.98
New York,Los Angeles,Rail,671,4190,721.31,1.25
Chicago,Miami,Air,251,534,440.41,0.02
Atlanta,Miami,Air,331,2507,676.49,0.0
Los Angeles,New York,Sea,2277,4083,742.57,8.45
Los Angeles,Miami,Road,896,4085,931.75,2.5
Miami,Chicago,Sea,2227,2871,572.25,23.55
Los Angeles,New York,Rail,1635,1596,684.83,3.35
Atlanta,Los Angeles,Air,2594,4768,4992.95,0.17
Houston,Atlanta,Air,1650,1731,2484.13,0.07
Los Angeles,Miami,Road,1948,905,1006.29,9.66
Miami,Los Angeles,Air,1202,1971,2034.82,0.05
Atlanta,New York,Rail,337,2468,394.07,0.25
Los Angeles,Seattle,Road,1005,4327,966.19,2.92
Chicago,Seattle,Air,1433,4335,2785.68,0.01
Atlanta,Miami,Road,2201,610,1258.79,10.43
Atlanta,Boston,Sea,984,2635,336.44,8.97
Chicago,Atlanta,Sea,1268,3248,455.98,3.01
Chicago,Los Angeles,Sea,2920,3171,680.07,15.25
Seattle,Boston,Road,873,3874,956.44,0.1
Seattle,Los Angeles,Road,1971,1317,1166.05,7.23
Seattle,Houston,Air,967,3562,2163.63,0.11
Chicago,Miami,Sea,890,1755,254.42,9.58
Chicago,New York,Air,1852,3504,3548.48,0.09
Boston,Houston,Rail,1081,555,422.32,0.58
Boston,New York,Rail,1033,4209,812.08,0.44
Los Angeles,Boston,Sea,385,800,109.48,0.18
Boston,Los Angeles,Road,1361,902,774.84,5.14
Boston,Seattle,Air,1842,1436,3429.48,0.23
Seattle,Boston,Rail,2644,2688,989.6,4.35
Los Angeles,Chicago,Sea,2452,4220,642.7,14.05
Houston,New York,Rail,1936,2413,885.33,2.8
Miami,Seattle,Road,1131,4765,990.28,3.46
New York,Seattle,Air,280,4528,911.59,0.03
Miami,Atlanta,Road,1680,3890,1288.29,0.69
Chicago,Los Angeles,Road,1302,4206,1030.56,3.63
Seattle,Miami,Air,1161,2952,1848.02,0.09
Houston,New York,Rail,672,1601,417.56,0.94
Chicago,Houston,Air,1268,3077,2379.36,0.01
Boston,New York,Sea,1884,3235,599.28,8.38
Boston,Houston,Sea,2378,997,383.22,18.59
Miami,Houston,Road,2046,337,975.46,1.16
Los Angeles,Atlanta,Road,2212,4722,1521.52,2.73
Los Angeles,Miami,Sea,2528,2717,615.63,24.88
Chicago,Miami,Rail,691,4638,701.83,0.08
Los Angeles,New York,Road,721,1778,512.35,2.93
Seattle,Atlanta,Air,2373,368,3451.44,0.01
Los Angeles,Atlanta,Air,1786,3376,3506.54,0.05
Miami,Boston,Air,1919,3608,3012.52,0.2
Los Angeles,Miami,Rail,248,2624,386.9,0.49
New York,Atlanta,Air,925,4372,1796.82,0.04
Atlanta,Boston,Road,2973,3564,1661.83,5.05
Los Angeles,New York,Rail,2817,938,1013.52,7.02
New York,Houston,Sea,451,3302,388.54,4.88
Chicago,Seattle,Rail,571,4880,687.62,0.13
Los Angeles,Chicago,Air,2576,3048,4604.05,0.06
Atlanta,Miami,Sea,2263,173,280.04,16.78
Chicago,Houston,Air,1743,2696,3168.65,0.21
Atlanta,New York,Air,1956,1445,2926.67,0.07
Houston,Boston,Sea,1465,4136,563.19,17.61
Houston,Miami,Sea,2559,917,337.83,33.29
New York,Los Angeles,Air,248,1702,557.46,0.02
Houston,Seattle,Rail,1405,534,436.76,2.7
Houston,Miami,Road,1836,1462,1227.15,8.45
Atlanta,Seattle,Rail,839,850,382.87,0.95
Boston,Seattle,Road,658,29,348.52,0.19
Chicago,Boston,Road,662,2752,662.97,1.06
Los Angeles,Boston,Sea,688,1234,191.28,0.94
New York,Chicago,Road,2997,4174,1890.98,7.14
New York,Chicago,Rail,1971,156,637.14,3.41
Atlanta,New York,Air,862,4817,2040.57,0.04
New York,Boston,Road,1246,1619,874.27,5.18
Boston,Houston,Air,517,4594,1238.69,0.03
Boston,Chicago,Rail,1261,3572,863.16,0.54
Boston,Atlanta,Rail,1683,2821,738.77,0.76
Chicago,Atlanta,Rail,2351,1224,794.03,0.79
Houston,Miami,Road,1995,1948,1403.55,9.38
Miami,Houston,Air,588,3540,1396.16,0.02
Miami,New York,Sea,2786,3644,718.08,31.15
Los Angeles,Seattle,Sea,1477,823,268.93,18.0
New York,Los Angeles,Road,2352,1551,1256.17,6.68
Los Angeles,Seattle,Road,2806,2565,1921.82,10.12
Los Angeles,New York,Air,333,4291,912.65,0.02
Los Angeles,Chicago,Road,2123,2113,1479.19,4.05
New York,Chicago,Sea,1751,1797,408.82,20.91
Houston,New York,Air,2666,3267,5170.04,0.21
Boston,Miami,Sea,1461,4627,632.58,9.26
Atlanta,Chicago,Air,795,1404,1543.27,0.07
Boston,Miami,Road,482,4659,693.67,1.91
Atlanta,Houston,Road,375,4208,661.41,0.95
Miami,New York,Rail,2817,3661,1131.41,6.76
Boston,Seattle,Air,207,3417,772.84,0.01
Los Angeles,Miami,Air,1337,2941,2699.65,0.06
Atlanta,Seattle,Sea,1478,1128,299.69,11.07
Houston,New York,Sea,1199,4659,686.51,7.26
Boston,Los Angeles,Sea,1111,2270,380.18,10.38
Miami,New York,Rail,1165,3721,778.99,2.2
Miami,Houston,Sea,876,1696,261.25,3.33
New York,Boston,Sea,2116,368,228.45,7.8
Atlanta,Los Angeles,Air,1394,3698,2807.98,0.13
Houston,Atlanta,Air,1119,4859,2445.09,0.02
Atlanta,Miami,Sea,2946,3043,612.65,33.7
Atlanta,Miami,Rail,440,1855,368.83,0.67
New York,Los Angeles,Road,657,3132,648.39,0.71
Chicago,Boston,Road,2604,1628,1616.61,2.83
Houston,Chicago,Air,649,1294,1191.94,0.05
New York,Miami,Air,2402,2199,4078.93,0.02
Chicago,Miami,Air,2739,3057,5173.46,0.34
Seattle,Chicago,Rail,2631,1569,939.65,2.03
Seattle,Chicago,Air,574,509,894.31,0.02
Miami,Houston,Road,2886,4999,2047.17,3.03
Miami,Seattle,Rail,2244,2980,1102.76,1.61
Chicago,Seattle,Rail,2670,1544,936.55,0.92
Atlanta,Houston,Road,569,85,337.05,1.71
Boston,Houston,Rail,2030,3218,925.37,1.73
Boston,New York,Rail,1099,833,435.59,2.07
Boston,New York,Road,1071,2972,750.52,3.8
Boston,Seattle,Air,2145,106,3202.48,0.11
Los Angeles,Miami,Sea,1089,3649,470.84,12.96
Seattle,New York,Road,1844,983,1203.8,0.75
New York,Seattle,Air,251,925,498.09,0.01
Miami,New York,Air,1834,2042,3031.09,0.15
Boston,Houston,Road,1861,1697,1226.85,7.21
Los Angeles,New York,Rail,2700,4771,1245.76,3.38
Miami,New York,Air,818,3192,1656.41,0.04
Boston,Miami,Road,1313,1493,804.56,1.96
Atlanta,Los Angeles,Road,397,1394,318.47,0.23
Atlanta,Los Angeles,Sea,619,3166,429.13,2.09
Boston,Houston,Road,2698,2791,1820.6,10.66
Houston,Seattle,Sea,1982,1436,410.01,0.24
New York,Atlanta,Road,1626,424,1002.38,6.26
Chicago,Atlanta,Air,2173,4504,3421.26,0.08
Chicago,Boston,Sea,734,2301,316.05,2.1
Seattle,Atlanta,Sea,2075,2385,406.93,19.06
Atlanta,Miami,Road,500,4911,821.24,0.46
Houston,Miami,Road,1234,538,674.59,3.06
Houston,Atlanta,Road,545,341,363.24,0.14
Miami,Seattle,Sea,1280,1109,275.57,8.42
Boston,Atlanta,Sea,1143,2862,363.71,11.26
Boston,Atlanta,Road,2354,3509,1473.2,7.56
Chicago,Atlanta,Rail,1065,4801,728.48,2.05
Houston,Atlanta,Road,1621,4072,1237.32,6.44
Chicago,Boston,Rail,2332,2367,1017.8,1.53
Los Angeles,Houston,Rail,1772,2926,900.61,3.32
Los Angeles,Chicago,Sea,614,3727,451.99,3.67
Los Angeles,Miami,Road,558,4770,782.55,2.68
Chicago,Atlanta,Rail,1122,547,422.93,1.0
Atlanta,New York,Sea,723,4453,466.27,2.2
Chicago,Boston,Rail,2387,1869,967.59,5.23
Chicago,Seattle,Air,913,2221,1861.8,0.07
Chicago,Houston,Air,1679,1342,3071.07,0.13
Houston,Seattle,Air,1347,4786,2693.23,0.13
Chicago,Boston,Road,956,121,522.84,0.64
Chicago,Boston,Road,1915,2008,1344.33,8.9
New York,Miami,Rail,1801,3912,1096.77,1.39
New York,Boston,Sea,2899,1336,464.57,29.4
Los Angeles,Miami,Air,2576,2504,3762.35,0.07
Houston,Chicago,Sea,2465,2477,588.68,19.65
New York,Los Angeles,Road,786,319,417.62,3.01
New York,Boston,Air,2542,201,3858.08,0.08
Chicago,Los Angeles,Rail,2711,4367,1499.76,1.7
Atlanta,Houston,Air,1736,595,2843.05,0.07
Miami,Atlanta,Air,2327,3164,3951.78,0.25
Los Angeles,Boston,Road,2934,2315,1790.28,14.23
Chicago,Miami,Road,628,749,394.78,0.97
Houston,Miami,Rail,1882,3049,855.62,1.06
Seattle,Miami,Rail,2049,1739,747.16,2.41
Los Angeles,Chicago,Rail,1173,4491,836.63,2.28
New York,Chicago,Road,2627,2333,1632.93,9.41
New York,Atlanta,Sea,532,1683,222.49,2.06
Seattle,Miami,Sea,519,2455,342.34,2.69
Chicago,Miami,Air,2806,3678,5452.64,0.21
Chicago,Seattle,Road,1093,569,578.66,4.97
Atlanta,Miami,Road,897,1186,587.88,1.72
Chicago,Seattle,Sea,1677,1316,320.53,10.12
Atlanta,Houston,Sea,1448,161,145.46,7.16
Boston,Atlanta,Air,1999,3643,3156.31,0.2
Miami,Houston,Sea,1330,4005,623.45,17.33
New York,Los Angeles,Rail,2630,1794,906.05,1.2
Seattle,Houston,Sea,2224,1123,302.97,4.93
Miami,Atlanta,Road,2362,4069,1845.15,8.81
Atlanta,New York,Air,1116,4304,2343.23,0.1
Chicago,New York,Road,1326,4445,1317.21,5.52
Atlanta,New York,Air,2918,33,4912.02,0.24
Boston,Atlanta,Air,523,2727,1126.52,0.01
New York,Chicago,Sea,2981,1116,393.42,28.14
Los Angeles,Miami,Road,310,3784,516.43,0.72
Houston,Seattle,Rail,2156,3469,1152.66,3.73
Boston,Los Angeles,Rail,1742,2605,920.2,0.94
New York,Boston,Road,2965,1931,1640.88,9.03
Houston,Miami,Air,1084,4450,1875.04,0.0
Atlanta,Los Angeles,Air,2447,3815,4062.22,0.04
Chicago,Miami,Sea,340,1112,130.91,1.52
Houston,New York,Air,2822,2464,4534.46,0.3
Seattle,New York,Road,1660,108,899.23,5.6
Boston,Los Angeles,Air,1016,2585,1653.51,0.04
Atlanta,Seattle,Air,1995,4645,4108.44,0.24
Seattle,Atlanta,Air,804,1756,1478.04,0.05
New York,Seattle,Road,1918,3500,1265.16,3.18
Los Angeles,Chicago,Road,2768,1456,1819.41,1.41
Houston,Miami,Road,1193,2327,754.86,0.46
Atlanta,Boston,Rail,675,3622,562.28,0.67
Chicago,Miami,Road,2209,1069,1155.76,1.28
Atlanta,Houston,Road,570,1704,519.93,0.17
Houston,Chicago,Rail,1556,4110,1043.36,0.36
Miami,Seattle,Rail,736,2699,576.47,0.08
Chicago,Los Angeles,Road,1980,4564,1415.82,7.18
Atlanta,Chicago,Sea,537,4801,555.7,2.84
Miami,New York,Road,260,2544,417.91,0.09
Los Angeles,Chicago,Road,2563,2837,1567.45,8.62
Boston,Houston,Air,2528,2283,3754.06,0.04
Boston,Atlanta,Air,1954,45,2799.67,0.19
Los Angeles,Miami,Air,1143,4047,2416.0,0.09
Houston,Miami,Sea,1649,3171,488.09,4.47
New York,Chicago,Rail,1667,1052,618.16,1.61
Seattle,Chicago,Air,1291,3584,2540.66,0.06
Seattle,Miami,Air,1273,2735,2361.96,0.08
Seattle,Atlanta,Road,345,1895,430.32,0.69
Los Angeles,Miami,Rail,1396,3852,788.15,2.82
Atlanta,Chicago,Road,2240,2925,1574.39,11.19
Houston,Seattle,Sea,863,1089,183.23,2.51
Seattle,Miami,Road,2678,4836,2050.52,10.26
Miami,Seattle,Rail,1822,1839,678.11,1.64
Boston,Seattle,Sea,572,2581,296.13,3.1
Houston,Boston,Sea,1464,1642,301.12,16.06
New York,Seattle,Sea,727,2865,348.59,3.24
Atlanta,Seattle,Air,648,2094,1208.98,0.04
Seattle,Chicago,Rail,1491,4620,1010.05,3.66
Los Angeles,Boston,Rail,2758,2574,1173.78,3.15
Seattle,Boston,Road,2987,1418,1768.2,9.49
Boston,Houston,Air,1434,822,2595.06,0.03
New York,Chicago,Sea,1748,3253,576.36,19.1
Houston,Chicago,Rail,2626,1719,959.32,2.61
Houston,Seattle,Air,240,3734,872.14,0.01
Miami,Seattle,Road,2862,4595,2007.01,7.68
Los Angeles,Boston,Road,329,1903,421.2,1.55
Houston,Miami,Air,1301,1540,1907.27,0.06
New York,Boston,Air,1852,4950,3237.93,0.16
Miami,Houston,Air,1264,323,1803.77,0.04
Boston,Chicago,Road,2434,4919,1861.5,9.34
Seattle,New York,Air,1444,2886,2443.53,0.15
Seattle,Los Angeles,Rail,2322,742,895.75,5.03
Houston,Atlanta,Air,2904,3787,4514.28,0.05
